Latitude,Longitude,ElevationMeters
41.23924542524693,28.89828929851138,129
41.23844234718411,28.89872625499339,129
41.23593273288431,28.90008283652958,152
41.23361780864597,28.90117684221198,149
41.23151101022986,28.90217719959124,149
41.22930451105763,28.90301340030145,149
41.22751071535046,28.90369334340725,133
41.22577749227552,28.90439208498914,141
41.22404971681381,28.90526501333535,129
41.22273133105718,28.90608562071338,110
41.22165224947763,28.90677082532583,116
41.2207345289444,28.90735605700661,120
41.21964325428767,28.90804021174383,120
41.21892100179245,28.90853608550424,126
41.21810541768598,28.90905045187644,119
41.21670654951819,28.90971420726954,119
41.21512709354224,28.91052589524496,104
41.21282598659943,28.91162632231337,110
41.21100193537657,28.91239807422944,100
41.2090283583159,28.91313529367133,110
41.20788188245371,28.91337219679635,107
41.20674334929991,28.91361028451031,107
41.20549627695767,28.91386499375257,99
41.20392239903177,28.91410518356717,86
41.20257252573603,28.91429253217663,86
41.20150801736103,28.91443081816693,73
41.20074530131574,28.91443461389105,73
41.20003118203461,28.91451156994666,73
41.19940686597276,28.91456768169513,67
41.19901907860929,28.91435117895815,67
41.19979545044112,28.91411060410603,67
41.2011419128326,28.91375054779918,73
41.20373512632194,28.91305839791871,86
41.20659321727956,28.91222807225106,89
41.20909701895183,28.9113484331762,89
41.21175751891773,28.91044751341391,100
41.2142608592015,28.90963310366224,93
41.21617384353356,28.9089707248733,102
41.21757799177665,28.90856711363788,119
41.21819780293477,28.90860518907461,119
41.21756780881463,28.90901371288998,119
41.21646804646631,28.90959076744424,102
41.21521774821986,28.91050628653534,104
41.21430040519471,28.91146779817955,110
41.21384230431518,28.91232295924645,110
41.21341297564565,28.91348797667006,132
41.21337693467581,28.91448217764982,132
41.21369867600999,28.91490329416494,134
41.21434730599129,28.9151092770149,134
41.21523157316598,28.91520081998202,122
41.2158263366205,28.91516982551006,122
41.21652972866586,28.91486681328512,122
41.21604593911117,28.91445636103002,116
41.21500675820578,28.91382524156661,116
41.21369123089734,28.91326726924724,132
41.21197630811883,28.91254746055591,116
41.21084602782354,28.91210683891701,100
41.20959385785572,28.91195427984912,89
41.20892398139294,28.91202046632817,89
41.20832983813064,28.91217129559541,89
41.20777904708284,28.91236409002679,89
41.20743275280535,28.91252174457003,107
41.20703357665158,28.91260686433125,107
41.20672663786859,28.91259240710032,107
41.20620977157351,28.91238613225791,74
