Latitude,Longitude,ElevationMeters
41.23007980091212,28.91268534291134,141
41.22958024890906,28.91283491241854,141
41.22853494351655,28.9131357073801,144
41.22739642495665,28.91351035490878,144
41.22580631309992,28.9139768307617,161
41.22458316462154,28.91448657218681,156
41.22390985934784,28.91484307711843,142
41.22325949579983,28.91513302665427,142
41.22324729147405,28.91533747745122,142
41.22325025037244,28.91553861233124,142
41.2233752660981,28.91626626776712,142
41.22368828860252,28.91778100531807,138
41.224189814102,28.91907035549825,113
41.22470706115168,28.92043686584312,113
41.22448176396829,28.92162679168078,128
41.2242641106722,28.92253210483436,128
41.22476959119375,28.92243204763873,128
41.22757928450143,28.92132720338323,126
41.22996644002715,28.91947044222606,167
41.23287744108325,28.91693044154686,170
41.23472552772252,28.9152695492945,134
41.23524711792934,28.91430293347048,142
41.23511790876393,28.91402126999634,142
41.23444432549319,28.91374172566062,142
41.23326159281395,28.91354759297279,137
41.23184849459303,28.91351859420663,137
41.23034617475511,28.91358235105287,141
41.22912209744691,28.91389858277439,144
41.22818053710198,28.9145970687211,129
41.22741520978552,28.9156138853841,129
41.22688134896973,28.91664882545821,150
41.22661342671833,28.91757708315446,122
41.22658283765859,28.91820187229122,122
41.22689838526123,28.91873613915493,122
41.22771309331618,28.91924084642003,150
41.22943517309325,28.9193021792568,167
41.23142135116166,28.91868860411957,170
41.23299475790055,28.9174980843751,170
41.23363828208041,28.91519265717583,134
41.23239572884832,28.91477240519346,154
41.23068446899291,28.91462039197668,138
41.22865530307034,28.91474365433784,129
41.22718030452576,28.91550931102064,129
41.2265371963823,28.91655718532724,150
41.22610578205167,28.91805274188522,122
41.22611202437034,28.91956192001654,115
41.22582768445464,28.92126034456133,147
41.22651333653969,28.92232382386313,147
41.22788335029212,28.92237133958787,126
41.22932933828692,28.92149365953857,127
41.22995397894475,28.91975820616498,167
41.23067742528218,28.91739004370395,155
41.2307474299121,28.91592176363254,138
41.22953761179173,28.9157008568935,138
41.22814389372169,28.91642976015829,129
41.22732813056274,28.91798256708491,135
41.22658889381204,28.91994995548842,115
41.22633797734831,28.92101043054033,147
41.2264619739407,28.92057712253943,115
41.22641237988876,28.91975189162173,115
